canal,observado_em,marca_canal,item_id,model_id,seller_sku,sinal_kit,fonte_do_sinal,ativo,escopo,referencia_antes,motivo_antes,status_ponte,metodo_ponte,kit_protheus,marca_kit,n_componentes,unidades,componentes,quantidades,componentes_resolvidos,metodos_do_componente,valor_antes_do_desconto,faixa_desconto,referencia_depois,motivo_depois,ganhou_referencia,bloqueado_para_aprovacao
shopee,2026-09-25,apice,21699882254,209611800831,KIT040,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,21198308847,219179349113,KIT010,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,18598314629,199179349095,KIT005,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23495167295,179730669301,KIT079,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,21499882230,199611794985,KIT011,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22098920381,209179352085,KIT034,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,20599871166,159786667151,KIT004,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23699670436,199193873774,KIT094,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23098892295,109870262915,KIT059,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22694408992,199179355086,KIT056,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23294395358,219179347071,KIT017,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22994400340,159786685099,KIT013,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
